name,type,location,address,open_time
华堂·新辰汇,商场,"116.420775,39.987979",北四环东路108号华堂商场B1层,
世贸天阶,商场,"116.452017,39.916492",光华路甲9号,
万达广场(北京双桥店),商场,"116.575660,39.908396",三间房双桥路3号(双桥地铁站A西口步行280米),
丽泽天地,商场,"116.305523,39.867664",丰台北路17号院1号楼,
北京侨福芳草地购物中心,商场,"116.448834,39.919577",东大桥路9号,
中粮·祥云小镇,商场,"116.537301,40.088227",后沙峪镇安泰大街9号,
龙湖北京颐和星悦荟,商场,"116.290467,39.997818",颐和园路208号(西苑地铁站C2西南口步行50米),
王府中环,商场,"116.409348,39.912576",王府井大街269号,
DT51,商场,"116.419469,39.999551",北苑路98号院1号楼,
银泰百货(北京大红门店),商场,"116.385515,39.844482",马家堡东路101号院10号楼,
朝外SOHO,商场,"116.454674,39.920065",朝阳门外大街乙26号朝外MEN A座,
万达广场(北京怀柔店),商场,"116.629818,40.316679",府前西街1号,
华宇时尚购物中心,商场,"116.323417,39.965368",中关村南大街2号数码大厦B座,
北京木樨园合生广场,商场,"116.397728,39.855749",永外果园8号(木樨园地铁站C西南口步行350米),
万达广场(北京平谷店),商场,"117.120575,40.159733",平谷大街37号,
合生麒麟新天地,商场,"116.477742,39.997101",望京东湖街道阜安西路11号,
华贸购物中心,商场,"116.480849,39.909097",建国路79号(大望路地铁站出入口步行70米),
乐成中心SPACE3,商场,"116.462516,39.894417",东三环中路22号,
凯德晶品购物中心,商场,"116.297414,39.908419",复兴路51号(万寿路地铁站B1东北口步行80米),
BHGMall上地店,商场,"116.311268,40.028656",农大南路1号院1号楼华联商厦B1层,
龙玥城,商场,"116.532941,39.801638",北京经济技术开发区科创五街38号,
双安商场,商场,"116.325813,39.966354",北三环西路38号,
新世界百货(望京店),商场,"116.480327,39.986766",望京花家地街道广顺南大街16号,
瀛海环宇坊,商场,"116.448613,39.758038",瀛永街(瀛海地铁站C西南口步行180米),
永旺梦乐城(丰台店),商场,"116.292070,39.817953",丰葆路88号院1号楼,
三旗百汇购物中心,商场,"116.343394,40.062531",回龙观三旗百汇4号厅北T12(北2门),
光耀东方广场,商场,"116.322074,39.899271",羊坊店路18号(北京西站地铁站北出口步行480米),
林奥CITY PARK购物中心,商场,"116.409356,40.034013",清林东路4号院6号楼东侧,
好世界,商场,"116.463206,39.921436",东三环北路38号(呼家楼地铁站C2东南口步行70米),
搜秀购物广场,商场,"116.419328,39.896594",崇文门外大街40号(崇文门地铁站G东南口步行360米),
北京姚家园万象汇,商场,"116.516015,39.941242",青年北路35号,
金唐新光界,商场,"116.306221,39.866282",丰台北路18号(西局地铁站G东南口旁),
四元桥购物中心,商场,"116.461315,39.978908",宜居南路甲2号,
长安商场,商场,"116.345154,39.907838",复兴门外大街15号,
北京新奥天虹,商场,"116.396034,40.001509",湖景东路9-11号新奥购物中心B1-B2,
北京远洋乐堤港,商场,"116.658421,39.923563",新华北路与通州北关桥交叉口东北角,
北京长安天街,商场,"116.123450,39.905343",新城大街与金安路交叉口(上岸地铁站出入口旁),
BOM嘻番里,商场,"116.353832,40.001771",学清路38号金码大厦B座(六道口地铁站B东北口步行110米),
红桥市场,商场,"116.420577,39.886248",天坛路9号,
京粮广场,商场,"116.253898,39.930845",田村路43号(田村地铁站B东北口步行50米),
大兴大悦春风里,商场,"116.341819,39.730177",林校路街道黄村东大街38号,
BHGMall北京华联回龙观购物中心,商场,"116.319445,40.076525",回龙观西大街111号,
老佛爷百货,商场,"116.374891,39.914132",西单北大街110号,
万达广场(北京延庆店),商场,"115.984571,40.474098",庆园街59号,
昌发展万科广场,商场,"116.315847,40.066232",龙域中街1号,
龙旗购物中心,商场,"116.347187,40.067107",黄平路19号,
红星美凯龙北京东五环商场,商场,"116.539931,39.914727",朝阳路高井村甲6号,
红星美凯龙北京西四环商场,商场,"116.272720,39.882891",西四环中路113号,
新辰里(酒仙桥店),商场,"116.490901,39.975785",酒仙桥路与酒仙桥中路交叉口东南100米,
金隅嘉品Mall,商场,"116.548122,39.951675",东坝中路38号,
东安市场,商场,"116.411922,39.914339",王府井大街138号(金鱼胡同地铁站B东口步行290米),
北京华联BHG Mall(天通苑店),商场,"116.414814,40.070404",东三旗路28号天通中苑F区,
三里屯一号场 T+ MALL,商场,"116.454918,39.932121",南三里屯路1号,
金宝汇购物中心,商场,"116.421522,39.915162",金宝街88号(灯市口地铁站C东南口步行340米),
天虹商场,商场,"116.341331,39.888887",广安门外大街168号朗琴国际大厦,
北京华联BHG Mall(常营店),商场,"116.597707,39.926599",常营街道朝阳北路17号(常营地铁站出入口旁),
当代商城(鼎城店),商场,"116.196034,39.925629",阜石路165号,
城乡购物中心(公主坟店),商场,"116.307452,39.908792",复兴路甲23号(公主坟地铁站A西北口步行190米),
中发百旺商城,商场,"116.276833,40.028943",圆明园西路18号,
丰联广场,商场,"116.438511,39.923609",朝阳门外大街18号(朝阳门地铁站A东北口步行330米),
北京SKP-S,商场,"116.478857,39.907336",高碑店乡建国路86号(大望路地铁站出入口步行200米),
金地广场,商场,"116.474488,39.909108",建国路91号(大望路地铁站D西北口步行90米),
